name,sub_category_id,
Tシャツ/カットソー(半袖/袖なし),1,
Tシャツ/カットソー(七分/長袖),1,
シャツ/ブラウス(半袖/袖なし),1,
シャツ/ブラウス(七分/長袖),1,
ポロシャツ,1,
キャミソール,1,
タンクトップ,1,
ホルターネック,1,
ニット/セーター,1,
チュニック,1,
カーディガン/ボレロ,1,
アンサンブル,1,
ベスト/ジレ,1,
パーカー,1,
トレーナー/スウェット,1,
ベアトップ/チューブトップ,1,
ジャージ,1,
その他,1,
テーラードジャケット,2,
ノーカラージャケット,2,
Gジャン/デニムジャケット,2,
レザージャケット,2,
ダウンジャケット,2,
ライダースジャケット,2,
ミリタリージャケット,2,
ダウンベスト,2,
ジャンパー/ブルゾン,2,
ポンチョ,2,
ロングコート,2,
トレンチコート,2,
ダッフルコート,2,
ピーコート,2,
チェスターコート,2,
モッズコート,2,
スタジャン,2,
毛皮/ファーコート,2,
スプリングコート,2,
スカジャン,2,
その他,2,
デニム/ジーンズ,3,
ショートパンツ,3,
カジュアルパンツ,3,
ハーフパンツ,3,
チノパン,3,
ワークパンツ/カーゴパンツ,3,
クロップドパンツ,3,
サロペット/オーバーオール,3,
オールインワン,3,
サルエルパンツ,3,
ガウチョパンツ,3,
その他,3,
ミニスカート,4,
ひざ丈スカート,4,
ロングスカート,4,
キュロット,4,
その他,4,
すべて,5,
ミニワンピース,5,
ひざ丈ワンピース,5,
ロングワンピース,5,
その他,5,
ハイヒール/パンプス,6,
ブーツ,6,
サンダル,6,
スニーカー,6,
ミュール,6,
モカシン,6,
ローファー/革靴,6,
フラットシューズ/バレエシューズ,6,
長靴/レインシューズ,6,
その他,6,
パジャマ,7,
ルームウェア,7,
ソックス,8,
スパッツ/レギンス,8,
ストッキング/タイツ,8,
レッグウォーマー,8,
その他,8,
ニットキャップ/ビーニー,9,
ハット,9,
ハンチング/ベレー帽,9,
キャップ,9,
キャスケット,9,
麦わら帽子,9,
その他,9,
ハンドバッグ,10,
トートバッグ,10,
エコバッグ,10,
リュック/バックパック,10,
ボストンバッグ,10,
スポーツバッグ,10,
ショルダーバッグ,10,
クラッチバッグ,10,
ポーチ/バニティ,10,
ボディバッグ/ウェストバッグ,10,
マザーズバッグ,10,
メッセンジャーバッグ,10,
ビジネスバッグ,10,
旅行用バッグ/キャリーバッグ,10,
ショップ袋,10,
和装用バッグ,10,
かごバッグ,10,
その他,10,
ネックレス,11,
ブレスレット,11,
バングル/リストバンド,11,
リング,11,
ピアス(片耳用),11,
ピアス(両耳用),11,
イヤリング,11,
アンクレット,11,
プローチ/コサージュ,11,
チャーム,11,
その他,11,
ヘアゴム/シュシュ,12,
ヘアバンド/カチューシャ,12,
ヘアピン,12,
その他,12,
長財布,13,
折り財布,13,
コインケース/小銭入れ,13,
名刺入れ/定期入れ,13,
キーケース,13,
キーホルダー,13,
手袋/アームカバー,13,
ハンカチ,13,
ベルト,13,
マフラー/ショール,13,
ストール/スヌード,13,
バンダナ/スカーフ,13,
ネックウォーマー,13,
サスペンダー,13,
サングラス/メガネ,13,
モバイルケース/カバー,13,
手帳,13,
イヤマフラー,13,
傘,13,
レインコート/ポンチョ,13,
ミラー,13,
タバコグッズ,13,
その他,13,
腕時計(アナログ),14,
腕時計(デジタル),14,
ラバーベルト,14,
レザーベルト,14,
金属ベルト,14,
その他,14,
前髪ウィッグ,15,
ロングストレート,15,
ロングカール,15,
ショートストレート,15,
ショートカール,15,
その他,15,
浴衣,16,
着物,16,
振袖,16,
長襦袢/半襦袢,16,
水着セパレート,16,
水着ワンピース,16,
水着スポーツ用,16,
その他,16,
スカートスーツ上下,17,
パンツスーツ上下,17,
ドレス,17,
パーティーバッグ,17,
シューズ,17,
ウェディング,17,
その他,17,
トップス,18,
アウター,18,
インナー,18,
ワンピース,18,
バンツ/スパッツ,18,
スカートスーツ上下,18,
パジャマ,18,
授乳服,18,
その他,18,
コスプレ,19,
下着,19,
その他,19,
Tシャツ/カットソー(半袖/袖なし),20,
Tシャツ/カットソー(七分/長袖),20,
シャツ,20,
ポロシャツ,20,
タンクトップ,20,
ニット/セーター,20,
パーカー,20,
カーディガン,20,
スウェット,20,
ジャージ,20,
ベスト,20,
その他,20,
テーラードジャケット,21,
ノーカラージャケット,21,
Gジャン/デニムジャケット,21,
レザージャケット,21,
ダウンジャケット,21,
ライダースジャケット,21,
ミリタリージャケット,21,
ナイロンジャケット,21,
フライトジャケット,21,
ダッフルコート,21,
ピーコート,21,
ステンカラーコート,21,
トレンチコート,21,
モッズコート,21,
チェスターコート,21,
スタジャン,21,
スカジャン,21,
ブルゾン,21,
マウンテンパーカー,21,
ダウンベスト,21,
ポンチョ,21,
カバーオール,21,
その他,21,
デニム/ジーンズ,22,
ワークパンツ/カーゴパンツ,22,
スラックス,22,
チノパン,22,
ショートパンツ,22,
ペインターパンツ,22,
サルエルパンツ,22,
オーバーオール,22,
その他,22,
スニーカー,23,
サンダル,23,
ブーツ,23,
モヒシン,23,
ドレス/ビジネス,23,
長靴/レインシューズ,23,
デッキシューズ,23,
その他,23,
ショルダーバッグ,24,
トートバッグ,24,
ボストンバッグ,24,
リュック/バックパック,24,
ウエストポーチ,24,
ボディーバッグ,24,
ドラムバッグ,24,
ビジネスバッグ,24,
トラベルバッグ,24,
メッセンジャーバッグ,24,
